frame,class,confidence,x1,y1,x2,y2,lat,lng
2,other corruption,0.32585925,636,158,801,191,21.17020833334167,72.83110833334167
3,other corruption,0.33643425,638,161,806,191,21.170212500012504,72.83111250001251
3,other corruption,0.3118295,698,162,804,188,21.170212500012504,72.83111250001251
5,other corruption,0.27826673,713,165,814,192,21.170220833354172,72.83112083335418
6,other corruption,0.30999398,713,168,816,196,21.170225000025006,72.83112500002501
6,other corruption,0.2612395,684,166,818,199,21.170225000025006,72.83112500002501
9,other corruption,0.37189534,639,173,833,206,21.17023750003751,72.83113750003751
11,other corruption,0.5477302,663,178,845,217,21.170245833379177,72.83114583337918
12,other corruption,0.4275989,643,178,849,219,21.17025000005001,72.83115000005002
14,alligator crack,0.30660334,602,169,875,309,21.17025833339168,72.83115833339168
14,other corruption,0.2704842,648,187,815,222,21.17025833339168,72.83115833339168
17,alligator crack,0.29745054,593,180,901,330,21.17027083340418,72.83117083340419
24,transverse crack,0.44099933,16,248,543,307,21.17030000010002,72.83120000010003
26,alligator crack,0.34123093,455,205,1175,554,21.17030833344169,72.8312083334417
26,alligator crack,0.25994438,533,210,1017,551,21.17030833344169,72.8312083334417
27,alligator crack,0.3788118,461,207,1243,557,21.170312500112523,72.83121250011253
32,other corruption,0.35381094,539,256,1088,410,21.170333333466694,72.8312333334667
32,longitudinal crack,0.31297755,974,397,1114,554,21.170333333466694,72.8312333334667
32,longitudinal crack,0.2533622,831,407,917,559,21.170333333466694,72.8312333334667
33,longitudinal crack,0.2852007,849,446,912,557,21.170337500137528,72.83123750013753
33,other corruption,0.27680323,540,263,1119,429,21.170337500137528,72.83123750013753
34,other corruption,0.3257721,524,274,1144,449,21.170341666808362,72.83124166680837
35,other corruption,0.31122312,519,291,1202,474,21.170345833479196,72.8312458334792
45,alligator crack,0.3014961,16,175,1253,565,21.170387500187537,72.83128750018754
45,transverse crack,0.27730218,612,215,889,258,21.170387500187537,72.83128750018754
48,transverse crack,0.25466892,579,224,892,274,21.17040000020004,72.83130000020005
49,transverse crack,0.31259677,576,229,853,275,21.170404166870874,72.83130416687088
50,transverse crack,0.31751603,560,236,887,284,21.170408333541708,72.83130833354171
51,transverse crack,0.34202552,598,244,868,285,21.170412500212542,72.83131250021255
51,alligator crack,0.25456,158,178,883,545,21.170412500212542,72.83131250021255
52,transverse crack,0.3995752,583,248,855,289,21.170416666883376,72.83131666688338
64,longitudinal crack,0.25072637,989,318,1079,406,21.170466666933386,72.83136666693339
67,longitudinal crack,0.30733907,389,205,680,522,21.17047916694589,72.8313791669459
68,longitudinal crack,0.36507827,386,212,696,538,21.170483333616723,72.83138333361673
69,longitudinal crack,0.38120484,376,282,567,556,21.170487500287557,72.83138750028756
69,other corruption,0.27822885,794,186,872,212,21.170487500287557,72.83138750028756
71,longitudinal crack,0.27687547,407,287,584,556,21.170495833629225,72.83139583362923
72,other corruption,0.4430339,785,186,879,217,21.17050000030006,72.83140000030006
73,longitudinal crack,0.2985177,392,306,540,560,21.170504166970893,72.8314041669709
74,longitudinal crack,0.27021155,375,319,537,555,21.170508333641727,72.83140833364173
75,longitudinal crack,0.37892807,374,322,528,559,21.17051250031256,72.83141250031257
85,alligator crack,0.2784745,347,144,911,556,21.170554167020903,72.83145416702091
87,alligator crack,0.2735433,281,156,890,557,21.17056250036257,72.83146250036258
89,alligator crack,0.40506282,276,148,952,554,21.17057083370424,72.83147083370424
89,other corruption,0.32593858,531,227,635,261,21.17057083370424,72.83147083370424
90,alligator crack,0.33661562,289,149,945,556,21.170575000375074,72.83147500037508
96,longitudinal crack,0.26639184,580,385,717,558,21.17060000040008,72.83150000040008
97,longitudinal crack,0.29702076,577,401,719,558,21.170604167070913,72.83150416707092
100,transverse crack,0.2740749,32,393,770,455,21.170616667083415,72.83151666708342
104,alligator crack,0.29251018,302,149,723,324,21.17063333376675,72.83153333376676
106,alligator crack,0.3063066,292,149,717,300,21.17064166710842,72.83154166710843
107,alligator crack,0.30667758,228,144,761,307,21.170645833779254,72.83154583377926
109,alligator crack,0.25408098,194,144,713,333,21.170654167120922,72.83155416712093
111,transverse crack,0.27591443,62,400,413,455,21.17066250046259,72.8315625004626
112,alligator crack,0.32031727,44,135,763,454,21.170666667133425,72.83156666713343
112,alligator crack,0.26407033,11,136,791,560,21.170666667133425,72.83156666713343
112,other corruption,0.25883502,79,236,1280,570,21.170666667133425,72.83156666713343
113,alligator crack,0.3238284,23,140,758,426,21.17067083380426,72.83157083380426
113,alligator crack,0.28228313,10,144,819,568,21.17067083380426,72.83157083380426
113,alligator crack,0.2762435,107,143,715,356,21.17067083380426,72.83157083380426
114,alligator crack,0.37466758,25,141,762,471,21.170675000475093,72.8315750004751
114,alligator crack,0.3851042,78,146,711,376,21.170675000475093,72.8315750004751
147,longitudinal crack,0.26648173,240,251,612,494,21.17081250061262,72.83171250061262
148,longitudinal crack,0.36334738,234,265,606,503,21.170816667283454,72.83171666728346
150,alligator crack,0.25808498,0,136,477,537,21.170825000625122,72.83172500062513
162,longitudinal crack,0.28665897,220,178,368,268,21.17087500067513,72.83177500067514
